,Race,Sex,Age,Occupation,Year,Male,B
0,B,F,26,Servant,1900,0,1
1,B,M,27,Drayman,1900,1,1
2,B,F,25,Laundress,1900,0,1
3,B,F,25,Servant,1900,0,1
4,B,F,8,At School,1900,0,1
5,B,M,46,Laborer,1900,1,1
7,B,M,19,Drayman,1900,1,1
9,B,M,12,At School,1900,1,1
12,B,M,21,Janitor,1900,1,1
17,B,F,58,Laundress,1900,0,1
18,B,F,35,Laundress,1900,0,1
19,B,F,23,Laundress,1900,0,1
20,B,F,18,Servant,1900,0,1
21,B,F,13,Servant,1900,0,1
22,B,M,56,Laborer,1900,1,1
24,B,M,20,Laborer,1900,1,1
25,B,F,39,Laundress,1900,0,1
26,B,M,20,Laborer,1900,1,1
31,B,F,24,Servant,1900,0,1
32,B,M,51,Laborer,1900,1,1
34,B,F,20,Laundress,1900,0,1
35,B,M,15,Coachman,1900,1,1
36,B,F,17,At School,1900,0,1
37,B,F,25,Laundress,1900,0,1
39,B,F,46,Servant,1900,0,1
40,B,M,21,Expressman,1900,1,1
41,B,F,19,Servant,1900,0,1
42,B,M,17,At School,1900,1,1
43,B,M,14,At School,1900,1,1
44,B,F,24,Laundress,1900,0,1
45,B,F,60,Laborer,1900,0,1
46,B,M,19,Laborer,1900,1,1
49,B,M,22,Laborer,1900,1,1
50,B,M,25,Laborer,1900,1,1
52,B,M,54,Laborer,1900,1,1
54,B,F,25,Servant,1900,0,1
55,B,F,48,Servant,1900,0,1
56,B,M,13,Servant,1900,1,1
57,B,M,10,At School,1900,1,1
58,B,F,28,Servant,1900,0,1
59,B,F,22,Servant,1900,0,1
60,B,F,30,Laundress,1900,0,1
61,B,F,15,At School,1900,0,1
62,B,F,11,At School,1900,0,1
65,B,M,28,Laborer,1900,1,1
66,B,M,31,Janitor,1900,1,1
67,B,M,29,Janitor,1900,1,1
69,B,F,29,Laundress,1900,0,1
70,B,M,30,Mason,1900,1,1
72,B,F,9,At School,1900,0,1
74,B,F,12,Nurse,1900,0,1
76,B,M,50,Laborer,1900,1,1
77,B,F,49,Laundress,1900,0,1
79,B,M,29,Laborer,1900,1,1
80,B,F,27,Laundress,1900,0,1
82,B,M,39,Laborer,1900,1,1
86,B,M,35,Laborer,1900,1,1
87,B,F,30,Cook,1900,0,1
88,B,F,14,At School,1900,0,1
90,B,F,63,Housework,1900,0,1
91,B,F,33,Laundress,1900,0,1
92,B,F,24,Laundress,1900,0,1
93,B,M,14,Drayman,1900,1,1
94,B,M,34,Laborer,1900,1,1
95,B,F,18,Laundress,1900,0,1
96,B,M,22,Bartender,1900,1,1
97,B,F,35,Laundress,1900,0,1
98,B,M,10,At School,1900,1,1
99,B,M,8,At School,1900,1,1
104,B,F,29,Seamstress,1900,0,1
105,B,F,27,Cook,1900,0,1
106,B,M,32,Laborer,1900,1,1
108,B,M,24,Janitor,1900,1,1
110,B,M,32,Laborer,1900,1,1
113,B,M,35,Laborer,1900,1,1
115,B,M,9,At School,1900,1,1
116,B,F,8,At School,1900,0,1
120,B,M,30,Laborer,1900,1,1
122,B,M,22,Laborer,1900,1,1
124,B,F,13,At School,1900,0,1
125,B,M,28,Laborer,1900,1,1
127,B,F,37,Laundress,1900,0,1
128,B,M,8,At School,1900,1,1
129,B,M,60,Cook,1900,1,1
131,B,M,55,Laborer,1900,1,1
132,B,M,36,Drayman,1900,1,1
134,B,M,10,At School,1900,1,1
135,B,F,9,At School,1900,0,1
136,B,M,57,Carpenter,1900,1,1
138,B,F,24,Seamstress,1900,0,1
139,B,F,24,Seamstress,1900,0,1
140,B,M,22,Barber,1900,1,1
142,B,F,18,At School,1900,0,1
143,B,F,17,At School,1900,0,1
144,B,F,16,At School,1900,0,1
145,B,F,14,At School,1900,0,1
146,B,M,12,At School,1900,1,1
147,B,M,23,Laborer,1900,1,1
149,B,M,87,Gardener,1900,1,1
150,B,M,81,Porter,1900,1,1
151,B,M,21,Laborer,1900,1,1
152,B,M,17,Tailor,1900,1,1
153,B,M,30,Tailor,1900,1,1
155,B,M,38,Teamster,1900,1,1
157,B,F,23,Cook,1900,0,1
158,B,M,21,Laborer,1900,1,1
159,B,F,19,Laundress,1900,0,1
160,B,F,17,Nurse,1900,0,1
162,B,M,12,Dishwasher (hotel),1900,1,1
163,B,F,11,Nurse,1900,0,1
164,B,F,9,At School,1900,0,1
169,B,F,10,At School,1900,0,1
170,B,M,30,Laborer,1900,1,1
171,B,F,27,Laundress,1900,0,1
172,B,M,25,Bricklayer,1900,1,1
173,B,F,35,Laundress,1900,0,1
174,B,M,19,Laborer,1900,1,1
178,B,F,28,Laundress,1900,0,1
179,B,F,11,At School,1900,0,1
180,B,M,10,At School,1900,1,1
181,W,M,26,Baker,1900,1,0
182,W,M,35,Baker,1900,1,0
184,W,M,57,Upholsterer,1900,1,0
185,B,M,38,Blacksmith,1900,1,1
187,B,M,8,At School,1900,1,1
189,B,M,22,Coachman,1900,1,1
190,W,M,45,Drummer,1900,1,0
191,B,M,38,Laborer,1900,1,1
193,B,F,12,At School,1900,0,1
195,B,M,24,Laborer,1900,1,1
196,B,M,55,Laborer,1900,1,1
198,B,F,38,Laundress,1900,0,1
200,B,M,38,Drayman,1900,1,1
203,B,M,63,Laborer,1900,1,1
205,B,M,18,Coachman,1900,1,1
206,B,M,17,Porter,1900,1,1
207,B,F,16,At School,1900,0,1
208,B,M,14,At School,1900,1,1
209,B,F,11,At School,1900,0,1
210,B,M,10,At School,1900,1,1
211,B,M,8,At School,1900,1,1
214,B,M,34,Laborer,1900,1,1
215,B,M,76,Chopping Wood,1900,1,1
217,B,M,29,Janitor,1900,1,1
219,B,M,24,Porter,1900,1,1
221,B,M,54,Drayman,1900,1,1
223,B,M,15,At School,1900,1,1
224,B,M,13,At School,1900,1,1
225,B,F,12,At School,1900,0,1
226,B,F,10,At School,1900,0,1
228,B,F,34,Laundress,1900,0,1
229,B,M,32,Laborer,1900,1,1
230,B,M,18,Barber,1900,1,1
233,B,M,15,At School,1900,1,1
235,B,M,22,Laborer,1900,1,1
239,B,M,40,Janitor,1900,1,1
240,B,M,18,Waitress,1900,1,1
241,B,M,31,Laborer,1900,1,1
243,B,M,20,Laborer,1900,1,1
246,B,F,10,At School,1900,0,1
247,B,F,23,Cook,1900,0,1
249,B,M,39,Carpenter,1900,1,1
251,B,M,34,Clergyman,1900,1,1
253,B,M,28,Musician,1900,1,1
258,B,M,47,Laborer,1900,1,1
259,B,F,20,Servant,1900,0,1
260,B,F,19,Servant,1900,0,1
261,B,M,15,Coachman,1900,1,1
262,B,F,14,Office Girl,1900,0,1
267,W,M,34,Stock Raiser,1900,1,0
270,W,F,11,At School,1900,0,0
271,W,M,8,At School,1900,1,0
273,B,M,27,Tailor,1900,1,1
277,B,F,37,Laundress,1900,0,1
278,B,M,30,Drayman,1900,1,1
279,B,M,15,Laborer,1900,1,1
280,B,M,56,Clergyman,1900,1,1
281,B,F,29,Laundress,1900,0,1
285,B,M,27,Laborer,1900,1,1
286,B,F,9,At School,1900,0,1
287,B,M,55,Carpenter,1900,1,1
288,B,M,44,Drayman,1900,1,1
289,B,M,44,Laborer,1900,1,1
290,B,M,41,Laborer,1900,1,1
294,B,F,14,At School,1900,0,1
295,B,M,40,Laborer,1900,1,1
300,B,M,48,Laborer,1900,1,1
302,B,M,45,Laborer,1900,1,1
304,B,F,32,Laundress,1900,0,1
305,B,M,10,At School,1900,1,1
306,B,M,12,At School,1900,1,1
307,B,F,43,Laundress,1900,0,1
308,B,F,15,At School,1900,0,1
309,B,F,50,Mid-wife,1900,0,1
310,B,F,26,Laundress,1900,0,1
313,B,F,53,Laundress,1900,0,1
314,B,F,27,Teacher,1900,0,1
315,B,M,21,Laborer,1900,1,1
316,B,M,57,Carpenter,1900,1,1
318,B,M,28,Laborer,1900,1,1
321,B,F,16,Cook,1900,0,1
322,B,F,26,Seamstress,1900,0,1
323,B,F,11,At School,1900,0,1
324,B,M,8,At School,1900,1,1
326,B,F,54,Laundress,1900,0,1
327,B,F,26,Seamstress,1900,0,1
328,B,M,23,Blacksmith,1900,1,1
329,B,F,15,At School,1900,0,1
330,B,M,29,Musician,1900,1,1
332,B,M,10,At School,1900,1,1
334,B,F,40,Nurse,1900,0,1
336,B,F,20,Seamstress,1900,0,1
337,B,M,18,Laborer,1900,1,1
338,B,M,16,Laborer,1900,1,1
339,B,M,13,At School,1900,1,1
340,B,M,45,Drayman,1900,1,1
341,B,F,30,Laundress,1900,0,1
342,B,M,11,At School,1900,1,1
343,B,M,27,Laborer,1900,1,1
346,B,M,50,Chopping Wood,1900,1,1
347,B,F,48,Laundress,1900,0,1
349,B,M,42,Chopping Wood,1900,1,1
350,B,M,24,Laborer,1900,1,1
351,B,M,22,Laborer,1900,1,1
352,B,F,37,Laundress,1900,0,1
353,B,F,19,Laundress,1900,0,1
354,B,M,22,Gravedigger,1900,1,1
355,B,F,25,Laundress,1900,0,1
356,B,M,20,Laborer,1900,1,1
357,B,M,9,At School,1900,1,1
359,B,M,40,Carpenter,1900,1,1
361,B,M,12,At School,1900,1,1
362,B,M,10,At School,1900,1,1
365,B,M,24,Drayman,1900,1,1
366,B,F,34,Laundress,1900,0,1
367,B,F,15,At School,1900,0,1
368,B,M,13,At School,1900,1,1
369,B,M,10,At School,1900,1,1
370,B,M,8,At School,1900,1,1
371,B,F,36,Laundress,1900,0,1
372,B,M,10,At School,1900,1,1
373,B,M,8,At School,1900,1,1
374,B,F,20,Laundress,1900,0,1
375,B,F,18,Laundress,1900,0,1
376,B,F,14,At School,1900,0,1
377,B,M,25,Bartender,1900,1,1
380,B,M,36,Laborer,1900,1,1
382,B,F,44,Laundress,1900,0,1
383,B,F,24,Cook,1900,0,1
384,B,F,16,At School,1900,0,1
385,B,F,35,Laundress,1900,0,1
386,B,F,48,Laundress,1900,0,1
388,B,M,14,At School,1900,1,1
389,B,M,25,Yardman,1900,1,1
390,B,F,21,Cook,1900,0,1
391,B,F,21,Cook,1900,0,1
392,B,F,27,Servant,1900,0,1
395,B,F,40,Cook,1900,0,1
396,B,M,52,Sexton,1900,1,1
398,B,M,18,Coachman,1900,1,1
399,B,M,16,At School,1900,1,1
400,B,F,10,At School,1900,0,1
402,B,M,21,Laborer,1900,1,1
403,B,M,41,Painter,1900,1,1
406,B,M,54,Bartender,1900,1,1
408,B,F,14,At School,1900,0,1
409,B,M,50,Laborer,1900,1,1
410,B,M,40,Drayman,1900,1,1
411,B,M,39,Cook,1900,1,1
413,B,M,30,Laborer,1900,1,1
416,B,M,76,Woodchopper,1900,1,1
418,B,M,30,Laborer,1900,1,1
422,B,M,29,Drayman,1900,1,1
424,B,M,26,Expressman,1900,1,1
425,B,M,38,Bartender,1900,1,1
426,B,M,22,Porter,1900,1,1
427,B,M,17,Laborer,1900,1,1
428,B,F,39,Laundress,1900,0,1
429,B,M,34,Porter,1900,1,1
430,B,M,69,Gardener,1900,1,1
432,B,M,25,Drayman,1900,1,1
435,B,M,65,Coachman,1900,1,1
436,B,F,47,Laundress,1900,0,1
437,B,F,29,Hairdresser,1900,0,1
438,B,F,17,At School,1900,0,1
440,B,M,47,Clergyman,1900,1,1
441,B,M,19,Laborer,1900,1,1
442,B,M,17,Laborer,1900,1,1
443,B,M,15,At School,1900,1,1
446,B,F,29,Laundress,1900,0,1
448,B,M,37,Bricklayer,1900,1,1
449,B,F,20,Laundress,1900,0,1
450,B,F,23,Laundress,1900,0,1
451,B,M,23,Laundress,1900,1,1
452,B,M,54,Bricklayer,1900,1,1
454,B,F,10,At School,1900,0,1
455,B,M,8,At School,1900,1,1
458,B,M,17,Laborer,1900,1,1
459,B,F,15,Nurse,1900,0,1
460,B,M,21,Coachman,1900,1,1
462,B,M,26,Porter,1900,1,1
464,B,M,68,Huckster,1900,1,1
465,B,M,35,Cook,1900,1,1
466,B,F,31,Laundress,1900,0,1
467,B,F,30,Servant,1900,0,1
468,B,F,12,At School,1900,0,1
469,B,M,8,At School,1900,1,1
473,W,M,42,Agent (Machines),1900,1,0
475,W,M,22,Iron Molder,1900,1,0
476,W,M,20,Machinist,1900,1,0
478,W,F,13,At School,1900,0,0
479,W,M,10,At School,1900,1,0
482,B,F,77,Laundress,1900,0,1
483,B,F,16,Servant,1900,0,1
484,B,M,12,At School,1900,1,1
485,B,M,9,At School,1900,1,1
486,B,F,24,Cook,1900,0,1
487,B,M,44,Laborer,1900,1,1
490,B,M,18,Laborer,1900,1,1
491,B,F,16,At School,1900,0,1
492,B,M,14,At School,1900,1,1
493,B,F,12,At School,1900,0,1
494,B,M,10,At School,1900,1,1
499,B,M,42,Expressman,1900,1,1
501,B,M,18,Janitor,1900,1,1
502,B,F,17,At School,1900,0,1
503,B,M,14,At School,1900,1,1
504,B,M,12,At School,1900,1,1
506,B,F,24,Cook,1900,0,1
509,B,M,46,Drayman,1900,1,1
511,B,F,18,Servant,1900,0,1
512,B,M,16,Errand Boy,1900,1,1
514,W,F,42,Seamstress,1900,0,0
515,W,M,13,Laborer,1900,1,0
516,W,F,8,At School,1900,0,0
518,B,F,37,Laundress,1900,0,1
519,B,M,14,Servant,1900,1,1
520,B,F,12,At School,1900,0,1
521,B,F,10,At School,1900,0,1
523,B,F,50,Laundress,1900,0,1
524,B,F,33,Laundress,1900,0,1
525,B,F,17,Servant,1900,0,1
526,B,F,10,At School,1900,0,1
528,W,F,48,Seamstress,1900,0,0
529,W,M,27,Jeweler,1900,1,0
530,B,M,46,Clergyman,1900,1,1
532,B,M,27,Waitress,1900,1,1
536,B,M,30,Laborer,1900,1,1
537,B,M,39,Porter,1900,1,1
538,B,F,35,Laundress,1900,0,1
540,B,M,30,Clergyman,1900,1,1
544,B,F,44,Laundress,1900,0,1
545,B,M,34,Laborer,1900,1,1
547,B,F,45,Laundress,1900,0,1
548,B,F,11,At School,1900,0,1
550,B,F,17,Servant,1900,0,1
551,B,F,14,At School,1900,0,1
552,B,F,20,Cook,1900,0,1
553,B,F,42,Laundress,1900,0,1
557,B,M,27,Laborer,1900,1,1
558,B,M,24,Carpenter,1900,1,1
562,B,M,27,Laborer,1900,1,1
563,B,M,60,Cotton Sampler,1900,1,1
566,B,M,9,At School,1900,1,1
567,B,M,8,At School,1900,1,1
569,B,F,24,Laundress,1900,0,1
573,B,M,39,Woodchopper,1900,1,1
574,B,F,38,Servant,1900,0,1
575,B,F,47,Laundress,1900,0,1
577,B,F,32,Laundress,1900,0,1
579,B,M,39,Fireman,1900,1,1
580,B,F,15,At School,1900,0,1
581,W,M,52,Grocer,1900,1,0
583,W,M,23,Shoemaker,1900,1,0
584,W,M,21,Shoemaker,1900,1,0
586,B,M,22,Laborer,1900,1,1
589,B,F,34,Laundress,1900,0,1
590,B,M,18,At School,1900,1,1
591,B,F,15,At School,1900,0,1
593,B,F,34,Laundress,1900,0,1
596,B,F,17,Laundress,1900,0,1
597,B,M,55,Woodchopper,1900,1,1
598,B,F,45,Laundress,1900,0,1
599,B,M,16,Coachman,1900,1,1
600,B,F,36,Laundress,1900,0,1
602,B,M,40,Woodchopper,1900,1,1
605,B,F,34,Laundress,1900,0,1
606,B,M,14,At School,1900,1,1
607,B,F,10,At School,1900,0,1
608,B,M,38,Drayman,1900,1,1
610,B,M,40,Laundryman,1900,1,1
612,B,F,11,At School,1900,0,1
615,B,M,14,Coachman,1900,1,1
616,B,F,38,Servant,1900,0,1
617,B,M,20,Drayman,1900,1,1
619,B,M,41,Laborer,1900,1,1
620,B,F,21,Servant,1900,0,1
622,B,F,18,Servant,1900,0,1
623,W,M,42,Grocer,1900,1,0
627,W,M,7,At School,1900,1,0
630,B,M,42,Laborer,1900,1,1
632,B,M,44,Laborer,1900,1,1
634,B,F,25,Laundress,1900,0,1
639,B,M,19,Janitor,1900,1,1
640,B,M,27,Laborer,1900,1,1
643,B,M,25,Laborer,1900,1,1
648,W,M,60,Blacksmith,1900,1,0
650,W,M,26,Laborer,1900,1,0
651,W,M,10,At School,1900,1,0
653,B,M,60,Chopping Wood,1900,1,1
654,B,M,41,Bale Hides,1900,1,1
655,W,M,32,Landlord,1900,1,0
657,W,F,6,At School,1900,0,0
658,W,M,45,Grocer,1900,1,0
660,W,M,20,Bottling (Brewery),1900,1,0
662,W,M,12,At School,1900,1,0
663,W,F,10,At School,1900,0,0
667,B,M,35,Porter,1900,1,1
668,W,F,76,Teacher,1900,0,0
669,B,F,36,Cook,1900,0,1
670,B,M,30,Barber,1900,1,1
676,B,M,17,Laborer,1900,1,1
677,B,M,54,Carpenter,1900,1,1
679,B,M,38,Laborer,1900,1,1
681,B,F,17,Nurse,1900,0,1
682,B,F,14,At School,1900,0,1
683,W,M,19,Blacksmith,1900,1,0
689,B,F,30,Cook,1900,0,1
690,B,F,17,Servant,1900,0,1
691,B,M,15,Coachman,1900,1,1
692,B,F,32,Laundress,1900,0,1
695,W,M,9,At School,1900,1,0
699,B,M,51,Laborer,1900,1,1
700,B,F,42,Laundress,1900,0,1
701,B,M,13,At School,1900,1,1
702,B,M,9,At School,1900,1,1
705,B,M,51,Laborer,1900,1,1
706,B,F,45,Laundress,1900,0,1
707,B,F,39,Laundress,1900,0,1
708,B,M,36,Laborer,1900,1,1
712,B,F,13,At School,1900,0,1
714,W,M,42,Carpenter,1900,1,0
719,W,F,15,At School,1900,0,0
720,W,M,13,At School,1900,1,0
722,B,M,34,Drayman,1900,1,1
724,B,M,9,At School,1900,1,1
729,B,F,30,Laundress,1900,0,1
732,B,F,54,Nurse,1900,0,1
733,B,F,17,At School,1900,0,1
734,B,F,49,Laundress,1900,0,1
735,B,M,55,Gardener,1900,1,1
736,B,F,17,At School,1900,0,1
737,B,F,50,Laundress,1900,0,1
738,B,M,30,Porter,1900,1,1
740,W,M,42,Laborer,1900,1,0
746,B,M,26,Laborer,1900,1,1
750,B,M,53,Laborer,1900,1,1
752,B,M,52,Carpenter,1900,1,1
754,B,M,50,Laborer,1900,1,1
761,B,F,80,Cook,1900,0,1
763,B,F,44,Cook,1900,0,1
764,B,M,45,Carpenter,1900,1,1
765,B,F,30,Seamstress,1900,0,1
766,B,M,26,Laborer,1900,1,1
767,B,F,22,Laundress,1900,0,1
768,B,F,35,Cook,1900,0,1
769,B,M,14,Laborer,1900,1,1
774,B,M,54,Woodchopper,1900,1,1
777,B,M,33,Laborer,1900,1,1
779,B,M,30,Laborer,1900,1,1
781,B,M,13,At School,1900,1,1
782,B,M,9,At School,1900,1,1
786,B,M,45,Drayman,1900,1,1
788,B,M,38,Bartender,1900,1,1
789,B,M,32,Porter,1900,1,1
790,B,M,50,Laborer,1900,1,1
794,B,F,24,Laundress,1900,0,1
796,B,F,37,Laundress,1900,0,1
797,B,M,25,Porter,1900,1,1
798,B,M,15,At School,1900,1,1
799,B,M,55,Landlord,1900,1,1
802,B,M,34,Bartender,1900,1,1
803,B,F,33,Laundress,1900,0,1
804,B,F,17,At School,1900,0,1
805,B,M,16,At School,1900,1,1
806,B,M,14,At School,1900,1,1
807,B,M,12,At School,1900,1,1
50,B,M,42,Driver,1910,1,1
52,B,F,65,Laundress,1910,0,1
53,B,F,43,Laundress,1910,0,1
54,B,M,21,Laborer,1910,1,1
55,B,M,24,Driver,1910,1,1
57,B,F,31,Laundress,1910,0,1
58,B,F,25,Cook,1910,0,1
60,B,M,38,Yardman at Parent's House,1910,1,1
64,B,M,19,Cook,1910,1,1
65,B,M,13,none ,1910,1,1
68,B,F,30,Laundress,1910,0,1
69,B,M,27,Laborer,1910,1,1
70,B,M,58,Sampler at Cotton,1910,1,1
72,B,M,33,Cook,1910,1,1
73,B,F,15,none ,1910,0,1
75,B,F,27,Teacher at school,1910,0,1
76,B,M,19,Porter,1910,1,1
77,B,F,41,Laundress,1910,0,1
78,B,M,58,Carpenter,1910,1,1
80,B,M,40,Grave digger at Cemetery,1910,1,1
82,B,M,40,Barber,1910,1,1
83,B,F,60,Laundress,1910,0,1
84,B,F,32,Laundress,1910,0,1
85,B,M,18,Laborer,1910,1,1
86,B,F,52,Laundress,1910,0,1
87,W,F,42,?,1910,0,0
88,W,F,21,Librarian at Library,1910,0,0
89,W,F,17,Clerk,1910,0,0
90,W,M,15,Apprentice at Carriage Shop,1910,1,0
92,B,M,28,Laborer,1910,1,1
93,B,F,25,Laundress,1910,0,1
94,B,F,17,Laundress,1910,0,1
95,B,M,38,Laborer,1910,1,1
98,B,M,42,?,1910,1,1
100,B,M,16,Elevator Boy at ?,1910,1,1
104,B,M,29,Laborer,1910,1,1
106,B,F,33,Cook,1910,0,1
109,B,F,33,Cook,1910,0,1
110,B,M,39,Trucker at ?,1910,1,1
112,B,F,18,Cook,1910,0,1
114,B,F,28,Laundress,1910,0,1
115,B,F,15,Maid,1910,0,1
117,B,F,24,Cook,1910,0,1
118,B,M,17,Driver,1910,1,1
119,B,F,42,Laundress,1910,0,1
120,B,F,42,Laundress,1910,0,1
122,B,M,35,Driver,1910,1,1
126,B,F,20,Dishwasher at YMCA,1910,0,1
127,B,F,32,Laundress,1910,0,1
128,B,M,30,Trucker at Rise Mill,1910,1,1
129,B,F,16,Laundress,1910,0,1
130,B,M,47,Laborer,1910,1,1
131,B,M,40,Bricklayer,1910,1,1
133,B,M,28,Laborer,1910,1,1
135,B,F,3,none ,1910,0,1
136,B,M,50,Carpenter,1910,1,1
138,B,M,40,? At city,1910,1,1
140,B,F,55,Laundress,1910,0,1
141,B,F,25,Laundress,1910,0,1
142,B,M,22,Laborer,1910,1,1
143,B,M,34,Laundress,1910,1,1
144,B,F,17,Laundress,1910,0,1
148,B,M,57,Janitor,1910,1,1
149,B,M,30,?,1910,1,1
150,B,F,64,Dressmaker at Home,1910,0,1
151,B,F,32,Dressmaker at Home,1910,0,1
152,B,M,29,Blacksmith at shop,1910,1,1
153,B,F,19,Dressmaker at Home,1910,0,1
154,B,F,56,Nurse,1910,0,1
155,B,M,26,Driver,1910,1,1
156,B,M,45,Hide Haudler at Leather Company,1910,1,1
158,B,F,31,Housekeeper at Private House,1910,0,1
159,W,M,45,Vegetable at Land,1910,1,0
163,W,M,39,Laborer,1910,1,0
164,B,M,38,Express at Transfer Company,1910,1,1
165,B,F,35,none ,1910,0,1
166,B,M,15,none ,1910,1,1
167,B,M,13,none ,1910,1,1
168,B,F,12,none ,1910,0,1
169,B,M,10,none ,1910,1,1
170,B,M,7,none ,1910,1,1
171,B,M,35,Laborer,1910,1,1
174,B,F,27,Maid,1910,0,1
175,B,F,24,Housekeeper at Private House,1910,0,1
176,B,M,18,Porter,1910,1,1
177,B,M,19,Trucker at Rise Mill,1910,1,1
178,B,M,20,Porter,1910,1,1
179,B,F,24,Keeper at Private House,1910,0,1
180,B,F,25,Laundress,1910,0,1
181,B,F,20,Laundress,1910,0,1
182,B,F,23,Laundress,1910,0,1
188,B,F,31,Dressmaker at Home,1910,0,1
190,B,F,70,?,1910,0,1
191,B,M,28,Waitress,1910,1,1
194,B,M,50,Laborer,1910,1,1
196,B,F,26,Cook,1910,0,1
197,B,M,20,Laborer,1910,1,1
198,B,M,22,Laborer,1910,1,1
199,B,M,19,Laborer,1910,1,1
200,B,F,40,Laundress,1910,0,1
201,B,M,23,Farming at Farm,1910,1,1
202,B,M,32,Janitor,1910,1,1
203,B,M,22,Laborer,1910,1,1
207,B,M,50,Farming at Farm,1910,1,1
210,B,F,20,Maid,1910,0,1
211,B,F,30,Dressmaker at Home,1910,0,1
212,B,F,40,Porter,1910,0,1
213,B,M,36,Laborer,1910,1,1
215,B,M,30,Laborer,1910,1,1
216,B,M,30,Porter,1910,1,1
218,B,M,40,Laborer,1910,1,1
220,B,F,27,Cook,1910,0,1
221,B,M,20,Yard man at priuvate house,1910,1,1
222,B,M,29,Laborer,1910,1,1
223,B,F,27,Dressmaker at Home,1910,0,1
224,B,F,70,Own ?,1910,0,1
225,B,M,50,Caterer at club,1910,1,1
226,B,F,54,Laundress,1910,0,1
228,B,M,38,Laborer,1910,1,1
231,B,M,44,Cook,1910,1,1
232,B,F,23,Laundress,1910,0,1
233,B,M,33,Laborer,1910,1,1
237,B,F,29,Dressmaker at Home,1910,0,1
238,W,M,62,Storekeeper at General Store,1910,1,0
241,W,M,24,Clerk,1910,1,0
242,W,M,22,Clerk,1910,1,0
243,W,M,20,Clerk,1910,1,0
249,B,M,36,Laborer,1910,1,1
251,B,M,28,Laborer,1910,1,1
252,B,M,50,Laborer,1910,1,1
254,B,M,18,Caddie at Golf Field,1910,1,1
255,B,M,16,Caddie at Golf Field,1910,1,1
256,B,F,39,Laundress,1910,0,1
257,B,F,20,Laundress,1910,0,1
258,B,M,29,Waitress,1910,1,1
259,B,M,30,Laborer,1910,1,1
261,B,F,30,Dressmaker at Home,1910,0,1
262,B,M,50,Salesman at Charcoal,1910,1,1
267,B,F,44,Laundress,1910,0,1
268,B,M,24,Porter,1910,1,1
269,B,F,50,Laundress,1910,0,1
271,B,M,50,Laborer,1910,1,1
275,W,M,25,Merchant at Grocery,1910,1,0
280,W,M,34,Undertaker at Shop,1910,1,0
285,W,M,21,Barber,1910,1,0
286,B,F,37,Laundress,1910,0,1
288,B,M,31,Laborer,1910,1,1
289,B,M,27,Farming at Farm,1910,1,1
291,B,M,40,Laborer,1910,1,1
293,B,M,19,Farming at Farm,1910,1,1
294,B,F,38,Laborer,1910,0,1
297,B,M,22,Porter,1910,1,1
298,B,M,27,Yard man at private house,1910,1,1
299,B,M,26,Laborer,1910,1,1
0,W,M,32,Blacksmith At Shops,1920,1,0
1,W,F,27,Dress Maker At Home,1920,0,0
6,B,M,35,Longshoreman At Port,1920,1,1
8,B,F,51,Washing At Home,1920,0,1
9,B,M,26,Cook,1920,1,1
11,B,M,28,Tailor At Shop,1920,1,1
12,B,M,43,Stockman At Farm,1920,1,1
13,B,F,30,Dress Maker At Home,1920,0,1
14,B,M,31,Laborer,1920,1,1
16,B,M,40,Driver,1920,1,1
17,B,M,33,Cook,1920,1,1
18,B,F,30,Workerwoman At Home,1920,0,1
19,W,M,30,Laborer,1920,1,0
23,W,M,29,Cook,1920,1,0
24,B,M,62,Longshoreman At Port,1920,1,1
26,W,M,29,Laborer,1920,1,0
30,W,M,40,Laborer,1920,1,0
31,W,M,21,Mechanic At Rr Shop,1920,1,0
35,W,M,70,Laborer,1920,1,0
37,B,F,25,Workwoman At Home,1920,0,1
40,B,M,42,Laborer,1920,1,1
41,B,M,39,Laborer,1920,1,1
42,W,M,34,Laborer,1920,1,0
44,W,M,38,Help At Hotel,1920,1,0
46,W,M,19,Help At Hotel,1920,1,0
50,W,F,50,Owner of Business,1920,0,0
51,W,M,25,Laborer,1920,1,0
52,W,F,21,Assistant,1920,0,0
53,W,M,45,Cook,1920,1,0
54,W,M,50,Dishwasher At Hotel,1920,1,0
55,W,M,60,"Tomeles Maker, ? And Peddler At Homer Street",1920,1,0
59,W,M,25,Driver,1920,1,0
60,W,M,47,Candy Maker At Teller Street,1920,1,0
62,W,M,17,Waitress,1920,1,0
63,W,M,15,Driver,1920,1,0
65,W,M,52,Laborer,1920,1,0
66,W,M,35,Laborer,1920,1,0
70,W,M,40,Laborer,1920,1,0
73,W,M,25,Farmer,1920,1,0
75,W,M,25,Laborer,1920,1,0
76,B,F,40,Washwoman,1920,0,1
77,B,M,24,Laborer,1920,1,1
78,B,F,15,Hired Girl At Private Family,1920,0,1
81,B,F,50,Washwoman,1920,0,1
82,B,M,60,Driver,1920,1,1
83,B,F,60,Washwoman,1920,0,1
84,B,F,40,Nurse,1920,0,1
85,W,F,26,Owner of Business,1920,0,0
87,W,M,35,Dishwasher At Restaurant,1920,1,0
88,W,M,29,Yard Man At Restaurant,1920,1,0
89,W,M,27,Bus Boy At Restaurant,1920,1,0
90,W,M,24,Bus Boy At Restaurant,1920,1,0
91,B,M,67,Boiler Maker At Factory,1920,1,1
92,B,M,28,Carpenter,1920,1,1
