,Race,Sex,Age,Occupation,Year,Male,B
1909,B,M,23,Cleaner,1920,1,1
1910,B,M,22,Mechanic At Automobile Company,1920,1,1
1911,B,M,65,Laborer,1920,1,1
1914,B,M,28,Laborer,1920,1,1
1915,B,F,23,Folder At Laundry,1920,0,1
1916,B,M,35,Laborer,1920,1,1
1917,B,F,36,Laborer,1920,0,1
1918,B,F,40,Washwoman,1920,0,1
1919,B,F,22,Cook,1920,0,1
1920,B,F,23,Cook,1920,0,1
1921,B,F,15,Presser,1920,0,1
1922,B,F,35,Finisher At Lauyndry,1920,0,1
1923,B,M,23,Laborer,1920,1,1
1924,B,M,23,Laborer,1920,1,1
1925,B,M,35,Laborer,1920,1,1
1926,B,F,25,Maid,1920,0,1
1927,B,M,35,Waitress,1920,1,1
1928,B,M,21,Dishwasher At Cafe,1920,1,1
1929,B,M,24,Laborer,1920,1,1
1930,B,M,22,Cook,1920,1,1
1931,B,M,38,Laborer,1920,1,1
1932,B,F,35,Washwoman,1920,0,1
1933,B,M,32,Laborer,1920,1,1
1934,B,F,25,Maid,1920,0,1
1935,B,M,26,Laborer,1920,1,1
1937,B,M,34,Laborer,1920,1,1
1938,B,F,37,Maid,1920,0,1
1939,B,M,22,Laborer,1920,1,1
1940,B,F,20,Waitress,1920,0,1
1941,B,M,25,Laborer,1920,1,1
1943,B,M,23,Laborer,1920,1,1
1944,B,F,20,Washwoman,1920,0,1
1945,B,M,45,Cook,1920,1,1
1946,B,F,22,Cook,1920,0,1
1947,B,M,27,Laborer,1920,1,1
1948,B,M,68,Laborer,1920,1,1
1949,B,F,28,Washwoman,1920,0,1
1950,W,M,41,Butcher At Own Shop,1920,1,0
1952,W,M,15,Mechanic At Buildings,1920,1,0
1959,W,M,35,Merchant At Own Store,1920,1,0
1964,W,M,26,Merchant At Own Store,1920,1,0
1968,B,F,28,Washwoman,1920,0,1
1970,B,M,33,Laborer,1920,1,1
1971,B,M,19,Dishwasher At Hotel,1920,1,1
1972,B,M,40,Laborer,1920,1,1
1973,B,M,25,Porter,1920,1,1
1974,B,M,38,Laborer,1920,1,1
1976,B,M,29,Porter,1920,1,1
1978,B,M,29,Repairer At Automobile Company,1920,1,1
1979,B,M,21,Laborer,1920,1,1
1980,B,M,28,Laborer,1920,1,1
1981,B,M,29,Laborer,1920,1,1
1982,B,M,28,Cleaner,1920,1,1
1983,B,M,35,Owner of Business,1920,1,1
1984,B,F,27,Seamstress,1920,0,1
1985,B,F,25,Maid,1920,0,1
1986,B,M,39,Porter,1920,1,1
1987,B,F,45,Cook,1920,0,1
1988,B,M,28,Mechanic At Auto Livery,1920,1,1
1989,B,M,34,Laborer,1920,1,1
1990,B,M,28,Bellboy At Hotel,1920,1,1
1992,B,M,29,Tailor At Own Shop,1920,1,1
1993,B,F,30,Nurse,1920,0,1
1994,B,F,42,Work At Daily,1920,0,1
1995,B,M,21,Porter,1920,1,1
1996,B,M,30,Porter,1920,1,1
1997,B,F,40,Washwoman,1920,0,1
1999,B,M,23,Porter,1920,1,1
2000,B,M,43,Laborer,1920,1,1
2002,B,M,26,Laborer,1920,1,1
2003,B,M,36,Teamster At Building Company,1920,1,1
2006,B,F,32,Seamstress,1920,0,1
2008,B,F,56,Cook,1920,0,1
2009,B,F,26,Seamstress,1920,0,1
2010,B,M,28,Cook,1920,1,1
2011,B,M,48,Laborer,1920,1,1
2012,B,F,45,Owner of Business,1920,0,1
2013,B,M,32,Cleaner,1920,1,1
2014,B,F,32,Washwoman,1920,0,1
2015,B,M,10,Newsboy At Newspaper Company,1920,1,1
2017,B,M,43,Agent At Real Estate,1920,1,1
2018,B,M,39,Teamster At Ice Plant,1920,1,1
2019,B,M,43,Porter,1920,1,1
2020,B,M,29,Barber,1920,1,1
2021,B,M,20,Porter,1920,1,1
2022,B,M,19,Shiner At Shoe Parlor,1920,1,1
2023,B,M,63,Porter,1920,1,1
2024,B,M,18,Shiner At Boot Parlor,1920,1,1
2025,B,M,24,Porter,1920,1,1
2026,B,M,44,Shoe Repairer At Own Shop,1920,1,1
2027,B,M,33,Agent At Real Estate,1920,1,1
2028,B,M,24,Florist At Greenhouse,1920,1,1
2029,B,M,20,Pantry Boy At Hotel,1920,1,1
2030,B,M,22,Porter,1920,1,1
2031,B,M,38,Tailor At Shop,1920,1,1
2033,B,M,22,Teamster At Whol. Grocery,1920,1,1
2036,B,M,22,Porter,1920,1,1
2037,B,F,18,Cook,1920,0,1
2038,B,M,47,Laborer,1920,1,1
2041,B,M,43,Switchman At Railway,1920,1,1
2042,B,F,36,Seamstress,1920,0,1
2047,B,M,38,Laborer,1920,1,1
2048,B,M,15,Laborer,1920,1,1
2049,B,M,14,Cook,1920,1,1
2050,B,F,26,Beauty Culture At Beauty Parlor,1920,0,1
2051,B,M,29,Porter,1920,1,1
2052,B,M,45,Blacksmith At Shop,1920,1,1
2053,B,M,22,Waitress,1920,1,1
2054,B,F,17,Nurse,1920,0,1
2055,W,F,48,Manager,1920,0,0
2056,W,F,32,Housekeeper At Private Family,1920,0,0
2057,W,M,31,Manager,1920,1,0
2058,B,M,45,Laborer,1920,1,1
2059,B,F,38,Dressmaker At Home,1920,0,1
2060,B,F,20,Pianist At Theatre,1920,0,1
2061,B,M,18,Cleaner,1920,1,1
2063,B,M,23,Laborer,1920,1,1
2064,B,F,19,Daily Work At Private Family,1920,0,1
2065,B,M,40,Laborer,1920,1,1
2066,B,F,36,Folder At Laundry,1920,0,1
2069,B,M,25,Driver,1920,1,1
2070,B,M,32,Porter,1920,1,1
2071,B,M,25,Owner of Business,1920,1,1
2072,B,F,27,Manager,1920,0,1
2074,B,M,23,Driver,1920,1,1
2075,B,F,21,Stamper At Laundry,1920,0,1
2076,B,F,19,Maid,1920,0,1
2077,B,M,21,Porter,1920,1,1
2078,B,M,38,Porter,1920,1,1
2080,B,M,22,Chauffeur,1920,1,1
2081,B,F,20,Cook,1920,0,1
2083,B,F,42,Washwoman,1920,0,1
2084,B,F,32,Cook,1920,0,1
2085,B,F,21,Cook,1920,0,1
2086,B,F,21,Cook,1920,0,1
2088,B,M,25,Laborer,1920,1,1
2089,B,F,27,Cook,1920,0,1
2090,B,M,39,Driver,1920,1,1
2091,B,M,22,Laborer,1920,1,1
2092,B,M,18,Laborer,1920,1,1
2093,B,M,60,Laborer,1920,1,1
2094,B,M,20,Mechanic At Garage,1920,1,1
2095,B,F,17,Worker At Laundry,1920,0,1
2097,B,M,37,Porter,1920,1,1
2100,W,F,36,Owner of Business,1920,0,0
2101,W,M,27,Chauffeur,1920,1,0
2103,B,M,50,Laborer,1920,1,1
2104,B,F,48,Owner of Business,1920,0,1
2105,B,M,25,Foreman At Government Warehouse,1920,1,1
2106,B,M,26,Laborer,1920,1,1
2107,B,F,22,Maid,1920,0,1
2109,B,M,30,Boilermaker At Locomot. Wks.,1920,1,1
2110,B,F,19,Cook,1920,0,1
2113,B,M,20,Laborer,1920,1,1
2114,B,F,18,Cook,1920,0,1
2115,B,M,28,Machinist At Shop,1920,1,1
2116,B,M,25,Laborer,1920,1,1
2117,B,M,31,Laborer,1920,1,1
2118,B,M,37,Machinist At Government Warehouse,1920,1,1
2119,B,F,25,Maid,1920,0,1
2120,B,M,22,Laborer,1920,1,1
2121,B,F,30,Dishwasher At Restaurant,1920,0,1
2123,B,F,49,Cook,1920,0,1
2124,B,M,21,Laborer,1920,1,1
2125,B,M,40,Laborer,1920,1,1
2126,B,M,37,Fireman At Railway Shop,1920,1,1
2127,B,F,39,Cook,1920,0,1
2128,B,M,25,Laborer,1920,1,1
2129,B,F,19,Office Girl At Wood Business,1920,0,1
2130,B,M,55,Carpenter,1920,1,1
2131,W,F,39,Owner of Business,1920,0,0
2132,B,M,28,Driver,1920,1,1
2133,B,F,30,Cook,1920,0,1
2134,B,F,20,Chambermaid At Hotel,1920,0,1
2135,B,M,24,Switchman At Railway Co.,1920,1,1
2136,B,F,21,Chambermaid At Private Family,1920,0,1
2137,B,M,24,U.S. Soldier At Us. Cavalry ,1920,1,1
2138,B,F,21,Maid,1920,0,1
2139,B,M,50,Laborer,1920,1,1
2140,B,F,35,Owner of Business,1920,0,1
2143,B,M,30,Laborer,1920,1,1
2144,B,M,35,Bricklayer,1920,1,1
2145,B,F,28,Hairdresser At Home,1920,0,1
2146,B,F,22,Housework At Private Families,1920,0,1
2147,B,F,23,Laborer,1920,0,1
2149,B,M,22,Driver,1920,1,1
2150,B,M,24,Driver,1920,1,1
2152,B,M,47,Driver,1920,1,1
2153,B,M,22,Laborer,1920,1,1
2154,B,M,44,Plumber At Buildings,1920,1,1
2155,B,F,36,Washwoman,1920,0,1
2156,B,M,22,Laborer,1920,1,1
2157,B,M,19,Laborer,1920,1,1
2158,B,M,37,Freight Handler At Rr Freight House,1920,1,1
